code;effectif;milieu;eleve_par_salle;eleve_par_chaise;kit_par_eleve;tablier_par_eleve;manuel_par_eleve;eleve_par_ens;prop_ben_cantine;propo_ens_bac+;prop_ens_peda;tx_promotion;condition_scolaire
101010001;233;URB H;46,6;1,165;1,072961373;0,407725322;3,412017167;33,28571429;1;0,714285714;0,285714286;0,626609442;DEFAVORABLE
101010002;713;URB H;89,125;2,602189781;1,056100982;1,056100982;2,556802244;41,94117647;1;0,529411765;0,352941176;0,514726508;DEFAVORABLE
101010003;528;URB H;88;2,46728972;1,100378788;1,100378788;0;37,71428571;0;0,785714286;0,142857143;0,429924242;DEFAVORABLE
101010005;94;URB H;18,8;0,56626506;1,085106383;1,085106383;9,765957447;15,66666667;1;0,666666667;0,666666667;0,840425532;FAVORABLE
101010006;180;URB H;36;0,9;0,961111111;0,811111111;3,822222222;30;1;0,833333333;0,5;0,555555556;FAVORABLE
101010007;912;URB H;152;3,166666667;0,6875;0,6875;1,377192982;57;0,824561404;0,75;0,125;0,398026316;DEFAVORABLE
101010008;482;URB H;80,33333333;2,231481481;1,002074689;1,002074689;4,394190871;43,81818182;1;0,909090909;0,636363636;0,549792531;DEFAVORABLE
101010010;452;URB H;45,2;0,92244898;1,130530973;1,130530973;3,67920354;25,11111111;1;0,777777778;0,277777778;0,595132743;FAVORABLE
101010011;958;URB H;87,09090909;1,916;1,222338205;1,06263048;3,361169102;41,65217391;1;0,608695652;0,695652174;0,342379958;DEFAVORABLE
101010012;191;URB H;31,83333333;0,568452381;1,068062827;1,068062827;7,293193717;27,28571429;1;0,857142857;0,857142857;0,476439791;FAVORABLE
101010013;1191;URB H;91,61538462;2,074912892;1,133501259;1,133501259;1,556675063;49,625;1;0,833333333;0,166666667;0,586062133;DEFAVORABLE
101010014;851;URB H;121,5714286;1,736734694;0,734430082;0,734430082;0,961222092;53,1875;0,85546416;0,375;0,125;0,363102233;DEFAVORABLE
101010015;796;URB H;88,44444444;3,460869565;1,195979899;1,195979899;2,983668342;41,89473684;1;0,684210526;0,157894737;0,536432161;DEFAVORABLE
101010016;804;URB H;80,4;1,333333333;0,839552239;0,82960199;3,666666667;44,66666667;0,963930348;0,611111111;0,277777778;0,577114428;DEFAVORABLE
101010018;757;URB H;44,52941176;1,682222222;0,98678996;0,98678996;1,599735799;42,05555556;0,830911493;0,944444444;0,388888889;0,597093791;DEFAVORABLE
101010020;274;URB H;45,66666667;0,951388889;0,97810219;0,97810219;4,427007299;45,66666667;0,97810219;0,666666667;0,5;0,708029197;FAVORABLE
101010021;1273;URB H;63,65;1,552439024;1,10290652;1,10290652;3,216810683;45,46428571;1;0,75;0,321428571;0,65435978;DEFAVORABLE
101010023;959;URB H;56,41176471;1,082392777;0,918665276;0,920750782;2,628779979;41,69565217;0,85088634;0,739130435;0,565217391;0,597497393;DEFAVORABLE
101010025;774;URB H;48,375;1,392086331;1,167958656;1,167958656;3,683462532;33,65217391;1;0,608695652;0,347826087;0,644702842;DEFAVORABLE
101010026;511;URB H;102,2;2,838888889;1,037181996;1,037181996;1,422700587;34,06666667;1;0,666666667;0,333333333;0,518590998;DEFAVORABLE
101010027;261;URB H;43,5;0,725;1,229885057;1,229885057;4,337164751;32,625;1;0,75;0,5;0,582375479;FAVORABLE
101010029;888;URB H;80,72727273;1,681818182;1,085585586;1,085585586;0,798423423;38,60869565;1;0,739130435;0,260869565;0,567567568;DEFAVORABLE
101010030;420;URB H;70;1,627906977;1,023809524;1,023809524;7,014285714;35;1;0,833333333;0,25;0,6;DEFAVORABLE
101010031;219;URB H;73;2,105769231;1,054794521;1,054794521;3,621004566;31,28571429;1;0,714285714;0,285714286;0,570776256;DEFAVORABLE
101010032;237;URB H;47,4;0,92578125;1,105485232;1,105485232;4,789029536;39,5;1;1;0,833333333;0,565400844;FAVORABLE
101010034;228;URB H;28,5;0,953974895;1,048245614;1,048245614;4,754385965;32,57142857;1;0,857142857;0,428571429;0,530701754;FAVORABLE
101010035;280;URB H;70;1,076923077;1,039285714;1,039285714;2,621428571;40;1;0,714285714;0,428571429;0,496428571;DEFAVORABLE
101010036;361;URB H;72,2;2,028089888;1,041551247;1,041551247;3,163434903;36,1;1;0,8;0,1;0,470914127;DEFAVORABLE
101010037;852;URB H;65,53846154;2,13;0,96713615;0,96713615;2,922535211;35,5;1;0,75;0,666666667;0,556338028;DEFAVORABLE
101010039;325;URB H;65;1,867816092;1,144615385;1,144615385;3,236923077;29,54545455;1;0,727272727;0,363636364;0,624615385;DEFAVORABLE
101010041;315;URB H;52,5;1,206896552;0;0;3,082539683;39,375;0;1;0,75;0,479365079;DEFAVORABLE
101010042;271;URB H;54,2;1,188596491;0;1,092250923;2,649446494;45,16666667;0;1;0,5;0,568265683;DEFAVORABLE
101010043;211;URB H;42,2;0,458695652;1,009478673;1,009478673;5,374407583;30,14285714;1;1;0,571428571;0,63507109;FAVORABLE
101010044;204;URB H;40,8;0,816;1,132352941;0,970588235;2,970588235;34;0;1;0,833333333;0,509803922;FAVORABLE
101010046;245;URB H;40,83333333;0,850694444;0,020408163;0,020408163;4,371428571;49;0;0,8;1;0,706122449;FAVORABLE
101010047;246;URB H;49,2;1,983870968;0,890243902;0,890243902;3,382113821;35,14285714;0,890243902;0,857142857;0,571428571;0,487804878;DEFAVORABLE
101010048;170;URB H;42,5;0,934065934;3,488235294;3,394117647;8,323529412;34;1;1;0,6;0,623529412;FAVORABLE
101010049;459;URB H;76,5;1,550675676;1,067538126;1,067538126;4,274509804;35,30769231;1;0,846153846;0,153846154;0,747276688;DEFAVORABLE
101010050;428;URB H;53,5;0,891666667;1,25;1,25;1,434579439;47,55555556;1;1;0,333333333;0,570093458;FAVORABLE
